,,,,,
2013-12-21,,1,6,0,0
,,,,,
2013-12-22,,1,6,0,0
,,,,,
2013-12-23,,1,6,0,0
,,,,,
2013-12-24,,1,6,0,0
,,,,,
2013-12-25,,1,6,0,0
,,,,,
2013-12-26,,1,6,0,0
,,,,,
2013-12-27,,1,6,0,0
,,,,,
2013-12-28,,1,6,0,0
,,,,,
2013-12-30,,1,6,0,0
,,,,,
2013-12-31,,1,6,0,0
,,,,,
2014-01-01,,1,6,6072,6072
,,,,,
2014-01-02,,1,6,0,0
,,,,,
2014-01-03,,1,6,0,0
,,,,,
2014-01-04,,1,6,0,0
,,,,,
2014-01-05,,1,6,0,0
,,,,,
2014-01-06,,1,6,0,0
,,,,,
2014-01-07,,1,6,0,0
,,,,,
2014-01-08,201,,6,0,0
,,,,,
2014-01-09,,1,6,0,0
,,,,,
2014-01-12,143,,9,0,0
,,,,,
2014-01-13,544,,8,0,0
,,,,,
2014-01-10,,,6,0,0
,,,,,
2014-01-11,,1,6,0,0
,,,,,
2014-01-12,143,,9,0,0
,,,,,
2014-01-13,,1,6,0,0
,,,,,
2014-01-14,,1,6,0,0
,,,,,
2014-01-15,,1,6,0,0
,,,,,
2014-01-16,,1,6,0,0
,,,,,
2014-01-17,,1,6,0,0
,,,,,
2014-01-18,,1,6,0,0
,,,,,
2014-01-19,,1,6,0,0
,,,,,
2014-01-20,2247,,8,0,0
,,,,,
2014-01-21,,1,8,0,0
,,,,,
2014-01-22,,1,8,0,0
,,,,,
2014-01-23,,,8,0,0
,,,,,
2014-01-24,,1,6,0,0
,,,,,
2014-01-25,,1,6,0,0
,,,,,
2014-01-26,,1,6,0,0
,,,,,
2014-01-27,,1,6,0,0
,,,,,
2014-01-28,,1,6,0,0
,,,,,
2014-01-29,,1,6,0,0
,,,,,
2014-01-30,,1,6,0,0
,,,,,
2014-01-31,,1,6,0,0
,,,,,
2014-02-01,,1,6,0,0
,,,,,
2014-02-02,,1,6,0,0
,,,,,
2014-02-03,,1,6,0,0
,,,,,
2014-02-04,,1,6,0,0
,,,,,
2014-02-05,,1,6,0,0
,,,,,
2014-02-06,45,,10,0,0
,,,,,
2014-02-07,,1,6,0,0
,,,,,
